,2006-01-01T00:00:00-05,2007-01-01T00:00:00-05,2008-01-01T00:00:00-05,2009-01-01T00:00:00-05,2010-01-01T00:00:00-05,2011-01-01T00:00:00-05,2012-01-01T00:00:00-05,2013-01-01T00:00:00-05,2014-01-01T00:00:00-05,2015-01-01T00:00:00-05,2016-01-01T00:00:00-05,2017-01-01T00:00:00-05,2018-01-01T00:00:00-05
UY,0.88666666,0.83553874,0.8246528,0.7342342,0.7529412,0.7669095,0.80215055,0.8195266,0.82539684,0.8676923,0.75498575,0.7536946,0.75615764
AW,0.877193,0.79930794,0.8027682,0.74210525,0.77056277,0.78099173,0.84761906,0.85493827,0.8333333,0.8105263,0.7904762,0.79347825,0.807971
CR,0.73333335,0.71428573,0.74394464,0.7057057,0.6720648,0.67669755,0.5589744,0.50736964,0.49758455,0.5857143,0.5874822,0.5975976,0.6117647
CW,0.8319088,0.74603176,0.7674858,0.7229437,0.8901099,0.84,0.84761906,0.85493827,0.76449275,0.70289856,0.76679844,0.79347825,0.807971
GY,0.68,0.7135417,0.7231405,0.6766667,0.66333336,0.647929,0.66137564,0.6530612,0.64827585,0.63793105,0.6699507,0.67487687,0.7236467
PA,0.6171717,0.6241211,0.5995062,0.5562544,0.5461039,0.526008,0.4639017,0.44562957,0.44957033,0.4563546,0.4764423,0.5073446,0.50751877
PR,0.780303,0.66280866,0.67033976,0.6471774,0.6345811,0.7104592,0.6839827,0.65082645,0.6666667,0.76608187,0.7572464,0.7010582,0.7137681
SR,0.6738461,0.75283444,0.7505669,0.6992754,0.67753625,0.7346939,0.65977013,0.66587394,0.6473118,0.62528735,0.66502464,0.7065527,0.78656125
CC,0.6666667,0.75,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
TL,0.8333333,1.0,0.8888889,0.8333333,0.8333333,0.8888889,0.9444444,0.96875,0.9444444,0.9285714,0.8333333,0.8333333,0.8333333
MU,0.6801802,0.6663223,0.67243767,0.6358464,0.6672269,0.7844388,0.77492875,0.7300832,0.6456456,0.6799431,0.6615385,0.69959676,0.7310606
NF,1.0,1.0,1.0,1.0,1.0,1.0,0.93333334,0.96,0.93333334,0.93333334,1.0,1.0,1.0
PH,0.8857143,0.6814405,0.6975,0.57666665,0.505291,0.5784499,0.52910054,0.5535714,0.5632184,0.60507244,0.62666667,0.59692305,0.60333335
RE,0.7126437,0.75878906,0.75234133,0.6439394,0.65977013,0.68734694,0.8011696,0.7922438,0.79473686,0.80237156,0.70944744,0.73978496,0.7234849
LK,0.5986938,0.60562414,0.5906016,0.5849057,0.5737374,0.590192,0.55353534,0.52754694,0.52021855,0.5616883,0.59935063,0.5814536,0.5694915
CU,0.93333334,0.92444444,0.890625,0.8897059,0.90849674,0.9031142,0.8578947,0.86728394,0.8268398,0.8238095,0.8008658,0.82857144,0.8095238
BH,0.93333334,0.8373702,0.8611111,0.8901099,0.8602941,0.8367347,0.74242425,0.79591835,0.7777778,0.88095236,0.81904763,0.86549705,0.9358974
BD,0.7692308,0.8106509,0.8402778,0.8,0.8095238,0.92,0.9285714,0.859375,0.8,0.84615386,0.8717949,0.90909094,0.92424244
JO,0.7253968,0.73615915,0.7502602,0.8172043,0.8915344,0.872428,0.82769233,0.8144,0.83666664,0.8153846,0.8319088,0.817734,0.8451613
MV,0.8717949,0.96,0.97,0.8214286,0.8214286,0.9183673,0.85714287,0.9183673,0.85714287,0.89285713,0.89285713,0.89285713,0.85714287
MM,0.9,0.9375,0.92,0.8666667,0.8666667,0.92,0.8,0.92,0.8666667,0.85897434,0.8666667,0.8666667,0.85714287
YE,0.71164024,0.7395957,0.6988889,0.7312253,0.7952381,0.8282548,0.7719298,0.80864197,0.85,0.9166667,0.8857143,0.8333333,0.6666667
GF,0.7251462,0.74515235,0.82840234,0.7948718,0.7878788,0.8264463,0.82051283,0.80991733,0.8030303,0.8030303,0.8484849,0.9120879,0.9230769
HN,0.75384617,0.7472,0.8263889,0.84415585,0.79710144,0.695,0.6926407,0.7025,0.6883117,0.70526314,0.7094017,0.6984127,0.6923077
BG,0.75816995,0.7543253,0.7867036,0.8496732,0.85714287,0.892562,0.8636364,0.87,0.83516484,0.8717949,0.9111111,0.93333334,0.9111111
CY,0.84210527,0.7977316,0.8347107,0.8105263,0.71164024,0.7712,0.75213677,0.75,0.7835498,0.83157897,0.77619046,0.8479532,0.875817
DK,0.60615385,0.6183432,0.667063,0.6653226,0.6860215,0.6855556,0.67753625,0.671875,0.67391306,0.6702899,0.67193675,0.61904764,0.64935064
DJ,0.7207207,0.69625,0.6972318,0.6390244,0.771836,0.77869606,0.74338627,0.74316293,0.6891892,0.6680162,0.64927536,0.6387921,0.6527294
EE,0.92727274,0.9338843,0.89,0.9230769,0.9230769,0.9861111,0.7426901,0.9583333,0.7368421,0.96153843,0.93939394,0.9230769,0.96153843
FI,0.73157895,0.7617729,0.7534626,0.83006537,0.8235294,0.81790125,0.79202276,0.6788889,0.7032258,0.77492875,0.7907692,0.8088235,0.8455882
GI,0.96428573,0.97959185,1.0,1.0,1.0,0.9917355,0.9117647,0.7160494,0.7818182,0.85,0.90909094,0.95238096,0.8888889
IR,0.7557932,0.7070855,0.7309458,0.7015873,0.65587044,0.6319444,0.6693122,0.725327,0.8,0.7733333,0.7098151,0.71022725,0.7747126
IE,0.9238095,0.7252066,0.7004132,0.9848485,0.84615386,0.9791667,0.7894737,0.83102494,0.8142857,0.8047619,0.8235294,0.8128655,0.81578946
IL,0.5880399,0.5856009,0.619375,0.610101,0.6120507,0.6354786,0.6817073,0.6883629,0.72064775,0.72706157,0.73205125,0.7307692,0.7357357
KE,0.7076649,0.7355372,0.7152,0.60645163,0.58870965,0.66181064,0.7407407,0.7968,0.68172044,0.7011494,0.6912879,0.7606838,0.76344085
