,2006-01-01T00:00:00-05,2007-01-01T00:00:00-05,2008-01-01T00:00:00-05,2009-01-01T00:00:00-05,2010-01-01T00:00:00-05,2011-01-01T00:00:00-05,2012-01-01T00:00:00-05,2013-01-01T00:00:00-05,2014-01-01T00:00:00-05,2015-01-01T00:00:00-05,2016-01-01T00:00:00-05,2017-01-01T00:00:00-05,2018-01-01T00:00:00-05
CL,422.0,826.0,736.0,494.0,462.0,892.0,307.0,542.0,339.0,347.0,399.0,344.0,384.0
CO,678.0,1146.0,1176.0,616.0,612.0,1134.0,623.0,1276.0,766.0,813.0,1046.0,961.0,885.0
EC,443.0,740.0,716.0,406.0,406.0,928.0,296.0,636.0,326.0,349.0,384.0,372.0,379.0
GN,246.0,518.0,594.0,256.0,159.0,398.0,255.0,584.0,280.0,175.0,221.0,189.0,215.0
KW,281.0,528.0,574.0,213.0,185.0,118.0,106.0,210.0,56.0,82.0,40.0,34.0,53.0
OM,628.0,1214.0,1248.0,727.0,620.0,1246.0,705.0,1376.0,659.0,709.0,870.0,862.0,877.0
PK,613.0,1176.0,1078.0,680.0,697.0,1456.0,438.0,1000.0,522.0,597.0,652.0,584.0,575.0
PE,468.0,860.0,800.0,431.0,423.0,842.0,330.0,582.0,360.0,376.0,476.0,431.0,423.0
QA,227.0,500.0,574.0,120.0,73.0,138.0,69.0,56.0,49.0,97.0,112.0,212.0,348.0
UY,247.0,424.0,454.0,460.0,420.0,710.0,347.0,532.0,290.0,261.0,246.0,287.0,287.0
AW,139.0,222.0,222.0,131.0,167.0,366.0,167.0,266.0,163.0,143.0,153.0,203.0,206.0
CR,438.0,850.0,834.0,443.0,470.0,850.0,411.0,866.0,484.0,342.0,388.0,375.0,341.0
CW,275.0,316.0,390.0,155.0,72.0,322.0,167.0,266.0,196.0,180.0,180.0,203.0,206.0
GY,192.0,400.0,340.0,192.0,187.0,426.0,239.0,498.0,269.0,246.0,258.0,257.0,237.0
PA,582.0,1124.0,1182.0,758.0,802.0,1668.0,864.0,1670.0,948.0,964.0,947.0,855.0,769.0
PR,389.0,834.0,706.0,298.0,332.0,536.0,142.0,298.0,167.0,116.0,195.0,249.0,182.0
SR,206.0,322.0,322.0,183.0,176.0,314.0,273.0,544.0,286.0,257.0,255.0,232.0,183.0
CC,1.0,2.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
TL,3.0,0.0,6.0,3.0,3.0,6.0,28.0,56.0,28.0,21.0,3.0,3.0,3.0
MU,430.0,1260.0,946.0,420.0,372.0,594.0,253.0,592.0,401.0,449.0,489.0,328.0,364.0
NF,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,10.0,10.0,0.0,1.0,1.0
PH,82.0,234.0,266.0,159.0,176.0,292.0,183.0,416.0,227.0,154.0,173.0,178.0,165.0
RE,293.0,756.0,702.0,318.0,266.0,816.0,124.0,272.0,136.0,186.0,376.0,322.0,358.0
LK,787.0,1728.0,1622.0,768.0,814.0,1682.0,783.0,1672.0,909.0,825.0,885.0,887.0,962.0
CU,99.0,194.0,214.0,106.0,123.0,246.0,146.0,264.0,173.0,156.0,168.0,159.0,171.0
BH,86.0,228.0,264.0,69.0,103.0,152.0,42.0,334.0,106.0,168.0,157.0,134.0,63.0
BD,54.0,130.0,114.0,10.0,14.0,20.0,21.0,50.0,38.0,59.0,61.0,44.0,53.0
JO,431.0,826.0,698.0,356.0,315.0,614.0,249.0,488.0,232.0,246.0,273.0,312.0,369.0
MV,61.0,90.0,90.0,20.0,20.0,42.0,21.0,42.0,21.0,21.0,21.0,21.0,20.0
MM,6.0,12.0,20.0,10.0,10.0,20.0,9.0,20.0,10.0,59.0,81.0,80.0,68.0
YE,253.0,604.0,610.0,172.0,154.0,286.0,121.0,250.0,92.0,100.0,85.0,3.0,1.0
GF,114.0,258.0,132.0,55.0,46.0,94.0,57.0,92.0,47.0,47.0,50.0,74.0,75.0
HN,231.0,450.0,458.0,178.0,202.0,264.0,145.0,266.0,144.0,120.0,232.0,249.0,211.0
BG,104.0,206.0,270.0,116.0,70.0,100.0,49.0,80.0,66.0,59.0,34.0,35.0,35.0
CY,144.0,404.0,386.0,137.0,246.0,460.0,242.0,412.0,164.0,142.0,147.0,129.0,118.0
DK,178.0,398.0,536.0,305.0,296.0,594.0,171.0,370.0,170.0,169.0,153.0,128.0,134.0
DJ,455.0,1088.0,784.0,498.0,409.0,824.0,263.0,604.0,432.0,468.0,640.0,518.0,529.0
EE,43.0,104.0,80.0,72.0,73.0,132.0,112.0,128.0,111.0,65.0,53.0,63.0,65.0
FI,124.0,260.0,256.0,112.0,112.0,250.0,257.0,588.0,304.0,251.0,237.0,98.0,102.0
GI,21.0,42.0,42.0,15.0,15.0,110.0,111.0,52.0,36.0,90.0,50.0,15.0,32.0
IR,400.0,942.0,772.0,417.0,458.0,796.0,237.0,590.0,139.0,215.0,476.0,354.0,314.0
IE,86.0,334.0,322.0,55.0,66.0,130.0,135.0,284.0,154.0,152.0,112.0,125.0,139.0
IL,501.0,1002.0,960.0,569.0,545.0,1140.0,527.0,1016.0,504.0,593.0,540.0,539.0,459.0
KE,377.0,780.0,432.0,264.0,273.0,616.0,243.0,480.0,296.0,283.0,343.0,248.0,331.0
