,2006-01-01T00:00:00-05,2007-01-01T00:00:00-05,2008-01-01T00:00:00-05,2009-01-01T00:00:00-05,2010-01-01T00:00:00-05,2011-01-01T00:00:00-05,2012-01-01T00:00:00-05,2013-01-01T00:00:00-05,2014-01-01T00:00:00-05,2015-01-01T00:00:00-05,2016-01-01T00:00:00-05,2017-01-01T00:00:00-05,2018-01-01T00:00:00-05
PG,0.20373406,0.21187693,0.18620452,0.1920416,0.11284373,0.11753271,0.1144782,0.11414854,0.113808826,0.1140479,0.115328595,0.11349368,0.11528773
WS,0.12877412,0.14640604,0.14632535,0.12147173,0.08777353,0.088408545,0.0868122,0.08773118,0.088867635,0.08485482,0.09885676,0.079341136,0.09326669
SA,0.22066255,0.22615306,0.23064247,0.22671784,0.2276114,0.22761823,0.21044229,0.2133636,0.21436466,0.22072847,0.22754289,0.22465307,0.2216709
SG,0.21767968,0.21576813,0.21617374,0.21770197,0.21130787,0.21200047,0.20154057,0.20223637,0.21119246,0.2138011,0.22355334,0.21696402,0.2121702
SB,0.17780213,0.15459992,0.16864228,0.15954469,0.093941934,0.11384291,0.11682346,0.11577915,0.11537934,0.1108598,0.11195174,0.10722621,0.11088249
KR,0.22463503,0.22372492,0.22700946,0.22819777,0.21557817,0.22121085,0.21636577,0.21906644,0.2222833,0.2206231,0.22542338,0.22244166,0.21864197
TW,0.22550003,0.21925806,0.22380072,0.22385532,0.21585625,0.21786556,0.20813859,0.209873,0.21045561,0.20903075,0.22208413,0.21413769,0.21221705
TH,0.21960561,0.22084884,0.2229112,0.21496558,0.21417548,0.16800164,0.15626207,0.17513105,0.17669894,0.1695266,0.17610642,0.18941714,0.18654692
TO,0.0893292,0.08797816,0.07324677,0.07151983,0.0756623,0.07643737,0.075036995,0.087731175,0.088867635,0.07246964,0.10012397,0.092990674,0.09490861
VU,0.15785189,0.15184334,0.14838679,0.14301896,0.07409072,0.09250957,0.09948902,0.10990795,0.10781953,0.08529798,0.08887256,0.08603539,0.08695143
WF,0.026967194,0.019689195,0.025806138,0.026409168,0.027999096,0.0252222,0.04333924,0.041218445,0.04089872,0.03381172,0.032093603,0.016370414,0.016764123
AO,0.18823855,0.20054835,0.19503553,0.18851626,0.197229,0.20191263,0.2090352,0.21040681,0.2041139,0.19670814,0.2052673,0.18817765,0.18479356
AR,0.22977945,0.22427452,0.22929847,0.23721278,0.22127995,0.2115023,0.20844097,0.20622236,0.21589397,0.2067854,0.19475971,0.19841816,0.20089985
BJ,0.1765585,0.17673689,0.19016813,0.19805738,0.19986139,0.21159397,0.20735379,0.20496325,0.20345041,0.19467315,0.20201784,0.20282985,0.21432494
BR,0.23242575,0.22980984,0.23573244,0.23642704,0.2280791,0.23259659,0.21902016,0.20631193,0.21674219,0.2106421,0.2083787,0.20005661,0.20182517
CM,0.20004438,0.20844986,0.20616613,0.20066696,0.19837195,0.21162109,0.20688023,0.20462778,0.20371397,0.17584692,0.20092812,0.18703271,0.18545093
CV,0.08521369,0.09834913,0.09807206,0.114168,0.093973234,0.093715906,0.08951394,0.08897695,0.056187846,0.047581,0.048702862,0.078511775,0.08266767
CN,0.23312244,0.23147978,0.22867641,0.23701979,0.22683278,0.228469,0.22176935,0.22314143,0.22531699,0.22417468,0.225871,0.21956167,0.21638162
CD,0.080786675,0.085994765,0.09951467,0.09491307,0.110545725,0.109351195,0.14733747,0.14311111,0.14760605,0.10167591,0.083524846,0.083120465,0.09679398
CG,0.20198946,0.20557556,0.19642198,0.18982093,0.1714728,0.2010185,0.20444368,0.19307989,0.19531271,0.18174139,0.18075313,0.16543432,0.166909
CI,0.20530304,0.2221081,0.22084266,0.21399656,0.2111143,0.21685311,0.20368646,0.19883679,0.20563814,0.19102404,0.18935698,0.17912713,0.17465018
GQ,0.14323981,0.13389973,0.13210498,0.13999876,0.15393452,0.15065266,0.15485442,0.15692729,0.13851827,0.13142943,0.13975514,0.13301398,0.13604043
GA,0.17167234,0.19623332,0.19146858,0.18370944,0.17163128,0.18795323,0.20230958,0.18789776,0.17739667,0.16280621,0.1444082,0.13636464,0.134537
GM,0.060065467,0.093641,0.10117006,0.08456494,0.0843901,0.080667496,0.12513565,0.1258055,0.13750085,0.117919475,0.10615857,0.089754894,0.08871226
GH,0.2164195,0.22159186,0.22247608,0.21313703,0.20514561,0.22028525,0.2144955,0.20955177,0.20597291,0.20231834,0.19967443,0.19819929,0.19903715
LR,0.063613206,0.13755259,0.13112295,0.12634993,0.07607715,0.04447689,0.08922668,0.091081105,0.09408904,0.0767294,0.07644759,0.06322684,0.061607935
MR,0.10870651,0.115454435,0.094043225,0.08841149,0.086781815,0.08396954,0.07765134,0.097072005,0.106760055,0.08486994,0.09068761,0.13111907,0.13272345
