,2006-01-01T00:00:00-05,2007-01-01T00:00:00-05,2008-01-01T00:00:00-05,2009-01-01T00:00:00-05,2010-01-01T00:00:00-05,2011-01-01T00:00:00-05,2012-01-01T00:00:00-05,2013-01-01T00:00:00-05,2014-01-01T00:00:00-05,2015-01-01T00:00:00-05,2016-01-01T00:00:00-05,2017-01-01T00:00:00-05,2018-01-01T00:00:00-05
TH,81.31097,81.84257,61.597992,67.58197,69.797035,55.6403,62.771,76.72192,71.220856,65.75634,69.415375,72.86467,83.95323
TO,80.964096,80.585915,81.78938,80.68079,81.59334,79.13565,81.63906,80.33446,76.46511,73.05207,77.77046,71.70473,79.67471
VU,80.83352,78.85263,79.504234,80.68393,83.050514,81.113884,84.55876,76.77241,70.72447,65.882225,69.79378,67.26455,75.11365
WF,83.05586,78.60883,78.783,80.56717,77.73448,71.55104,80.1269,76.53952,75.07665,74.07543,75.750336,73.03995,80.317825
AO,72.58069,79.71513,79.241714,74.36226,76.60511,76.93443,73.80045,73.09894,69.39544,79.559006,67.2061,83.35266,85.54325
AR,78.230736,78.50536,82.68888,82.559265,65.73282,58.660892,76.89833,78.21945,72.76117,68.47452,74.88891,76.76531,82.3748
BJ,67.8584,71.69317,69.07389,73.412575,76.439575,67.377426,76.088646,71.35101,71.57532,61.43325,74.22626,67.367065,69.602356
BR,79.22104,80.404724,79.7621,81.85668,81.1389,80.08825,82.15529,81.56157,73.05795,71.182205,77.03046,84.53986,88.107925
CM,81.87601,77.214554,82.602356,80.80284,81.387115,82.16941,82.79224,81.20493,77.168625,81.81572,77.49592,82.06548,87.41511
CV,80.646225,80.59989,80.23723,80.67852,76.70923,76.36058,78.921135,82.28143,64.179955,57.184303,63.304184,84.82152,87.80713
CN,74.3639,80.20194,81.27357,79.62979,78.235405,72.46227,81.20564,80.648926,76.72409,76.88995,83.642746,66.83836,73.251236
CD,77.913216,78.897446,77.81071,79.97377,82.37011,80.74259,83.37577,79.65948,77.63865,79.06717,80.22629,82.66305,87.16504
CG,79.66259,77.43669,83.12137,80.57661,81.459145,81.85693,74.41434,74.474815,69.60818,77.52026,69.896935,83.369446,87.16611
CI,79.89137,76.7704,81.882965,81.23138,80.109604,81.66304,76.608444,78.72405,70.60303,76.24653,74.0612,76.25696,83.995705
GQ,79.56734,75.75381,80.376236,75.39307,81.30338,78.34904,80.9985,82.139565,74.869194,79.03772,79.79069,82.067535,87.433395
GA,81.91621,78.968346,81.55032,80.69758,82.57192,73.98975,80.13726,77.99993,76.07069,78.38925,82.024216,83.66666,87.8871
GM,73.06416,77.6141,77.1437,80.110275,79.53197,78.06511,80.85651,80.993164,71.202065,67.733864,73.39574,74.338554,83.809845
GH,81.90592,77.19612,82.02525,81.538414,80.93613,83.60037,85.81067,78.58534,75.593445,81.328476,75.193634,76.67962,83.65897
LR,75.69092,80.54625,69.802956,73.15603,74.8695,48.971893,79.618744,73.65842,71.0735,70.20055,74.52407,70.49942,72.232635
MR,83.00498,76.35238,81.19911,77.721985,78.62911,79.499954,72.95213,81.97178,75.12395,79.93823,81.50168,82.18456,87.67231
NAB,68.7861,74.39066,60.077072,80.29706,82.039856,75.870445,78.84682,81.752464,76.734314,76.60843,80.38321,82.610664,86.52056
NL,82.3358,81.96126,83.79744,80.48543,81.83134,81.6239,81.12507,79.50171,75.18023,75.79995,83.59132,83.977684,88.471634
NG,80.678795,74.53603,73.3263,74.83045,80.0249,71.61044,81.447754,77.98734,75.67198,81.72127,78.05431,81.78788,87.182556
ST,82.819496,82.26514,81.69215,80.56211,82.76928,73.38061,78.515594,80.27617,78.83414,82.96376,78.41629,83.41685,87.86256
SN,79.19775,76.78156,81.3553,79.73233,80.97333,81.64915,82.5685,80.30533,77.163605,80.94056,70.558914,65.803154,79.2494
SL,67.42842,64.044655,50.135414,54.937637,49.703377,79.33974,62.05201,63.74915,34.288067,67.38502,74.196526,74.30283,83.83435
ZA,78.51894,78.97024,81.674644,82.44863,84.75626,83.67973,86.06662,83.44462,78.205086,80.74246,84.234474,81.78601,86.53512
TG,79.6348,76.472466,81.34575,79.91044,80.44364,81.6346,76.26604,71.052734,72.218956,56.259483,79.49289,67.49024,80.123055
AE,78.0373,74.01265,81.761734,81.17284,79.984184,62.003487,70.70566,78.0683,59.194344,64.56238,83.65058,84.77543,86.8463
AI,77.1277,76.63502,-999.0,-999.0,79.6121,73.9726,63.6412,64.26619,57.65974,58.561188,67.174164,69.84868,78.92113
BS,76.674706,59.626995,56.37408,52.30639,64.6692,73.70801,72.94407,73.794624,68.73512,71.54377,75.95755,74.533745,82.26986
VG,71.957596,78.13564,76.29048,74.4223,79.38948,70.10949,56.95038,65.542984,58.776695,60.046444,68.284035,80.93244,85.42941
DM,80.31217,82.911674,73.041,70.36127,75.34484,70.980934,71.9089,80.90146,76.36605,78.01864,84.593185,74.514114,85.64445
GP,79.0034,76.53673,76.07827,79.005775,79.596146,76.70007,80.344666,81.08077,76.0789,79.03028,79.39887,78.86754,86.593285
AN,75.79295,80.300705,73.829475,72.12897,76.22154,75.1363,70.63039,73.44466,68.341774,70.115456,67.46333,69.97927,85.665886
KN,73.021385,78.33546,75.6289,75.04853,79.72397,71.21715,72.7514,72.67881,65.755516,68.00945,73.29824,80.97815,86.031685
VI,67.1886,68.019455,67.69569,69.97475,72.00893,69.87229,80.567215,79.520706,75.005844,77.5647,80.0178,80.993385,83.887344
AG,64.499435,80.20732,75.31164,74.28134,79.24002,71.15978,72.586006,80.77922,76.11528,78.25157,84.80879,81.023865,86.45417
BB,74.52537,70.40087,75.04589,76.41761,82.73246,79.53949,70.710464,80.495026,75.893715,77.46687,80.89065,81.27719,87.2958
GD,62.78287,72.32166,68.34594,69.45907,70.10764,72.53873,68.5518,80.70659,75.83216,77.72893,84.665726,74.986115,85.37063
HT,65.0792,78.08492,64.27919,64.0945,75.31952,69.859055,59.520973,83.810196,60.59281,69.97989,69.97515,73.232864,80.512146
JM,57.390495,61.727856,70.75212,63.323517,67.636566,66.161354,62.98284,59.31649,65.47577,62.387524,71.41824,71.34149,79.794205
MQ,77.894066,76.199196,75.63568,69.93392,73.01146,68.51021,73.16476,80.6769,75.98288,78.43254,80.04517,77.11593,85.75196
LC,56.71895,68.87128,56.407993,63.76035,74.79502,58.38194,65.85198,75.81395,69.65104,71.55803,80.94933,77.35938,87.30203
VC,62.778446,68.0607,68.49487,69.75128,75.77789,66.976814,68.79164,80.67803,75.83216,78.0769,82.34005,81.511345,87.34381
TT,74.77942,73.34151,76.23593,65.36876,78.94026,72.12083,81.06242,84.50866,80.68924,82.88469,85.10569,85.28099,88.85967
CL,74.612564,73.84671,72.60635,82.00999,83.94535,83.62328,75.51719,75.263145,67.53677,60.841187,75.798355,40.172203,77.86287
CO,60.185863,54.87771,53.36216,59.742867,48.629856,39.408287,84.72501,82.69998,78.41232,80.82848,81.20466,84.36973,78.512955
EC,80.7931,78.01237,78.9946,77.97689,80.18958,82.03772,84.713615,84.16925,78.3849,80.41762,84.6117,65.72466,88.261284
GN,80.24795,77.50517,81.287636,80.93287,80.898766,81.71335,79.18956,76.4743,71.18452,67.22324,79.620094,80.90154,87.05187
KW,81.51166,81.12581,84.17492,82.70001,84.41979,74.33466,77.6053,80.119064,78.15944,83.482735,72.04932,78.07457,79.51212
OM,74.31703,75.51064,80.606834,81.04463,70.515785,67.22406,80.308105,80.926704,76.44092,64.39843,84.42982,84.85367,83.05524
PK,79.47094,79.25427,79.85108,82.14513,80.21054,77.061516,80.36295,60.532227,74.56379,79.649414,81.35261,80.688225,81.06351
PE,79.37115,77.66094,72.6393,77.06644,77.988,79.24503,82.03728,78.05484,54.08292,70.28987,80.62254,64.01051,83.08841
QA,80.67492,80.94823,84.29079,82.47939,79.239075,78.27075,84.22745,69.50102,63.587566,84.54682,86.186,85.86182,56.782154
UY,34.73415,70.09341,68.795944,75.4237,72.25558,80.98915,74.80071,71.38698,68.9321,51.905083,66.14868,70.6262,80.896
AW,78.3445,79.06112,80.00368,73.99321,73.5869,70.88533,75.78723,78.83403,75.73158,77.29384,81.75595,78.46278,86.557175
CR,70.69586,73.175125,73.08875,70.557785,78.284645,66.16481,66.33548,81.50289,73.36225,75.610275,83.67013,81.47515,86.18777
CW,74.23692,56.995342,69.33428,74.637085,75.20407,76.60868,75.72623,78.83403,78.48761,77.06855,81.50017,78.46278,86.557175
GY,84.04246,84.33448,84.612206,81.88133,83.74739,80.81408,85.10178,84.688835,80.91978,82.9352,84.69373,85.509834,89.241104
PA,72.02222,70.3732,72.59034,68.875175,70.934906,71.270966,67.394585,81.44694,73.99452,77.7049,81.31638,84.36973,85.92442
PR,80.71586,80.07423,78.49326,76.32029,81.34565,81.77527,81.3545,80.80505,76.441956,79.15815,82.19201,82.280914,86.913956
SR,84.07022,84.11038,84.608406,81.9098,83.788826,80.57122,85.722885,85.047,81.10232,83.11289,85.6039,85.50457,89.23381
CC,78.571655,81.02068,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
TL,74.06873,72.20617,78.3319,77.28532,79.5026,79.281364,79.85345,72.97846,65.20967,64.16669,69.2653,63.239056,79.374725
MU,80.382965,79.6074,81.53673,81.64543,82.39552,75.806786,75.89538,80.88462,75.65975,68.130135,76.79828,66.92758,75.47738
NF,76.63284,79.52397,76.09981,81.449936,83.53056,83.383064,85.469604,81.59755,79.24388,80.42716,81.32542,70.748474,83.720955
PH,77.42188,67.67196,67.22764,77.11628,83.799385,55.435165,78.81951,67.06934,63.54317,72.69371,67.420364,59.63605,72.67913
RE,67.63699,60.621307,59.294044,71.38904,80.774895,72.444016,82.48718,82.44261,75.65975,76.761444,76.79828,80.61388,85.007965
LK,64.59729,67.76087,65.66765,44.256054,60.360516,60.992878,65.90078,65.73063,71.42922,43.93793,36.43485,60.590725,64.21961
CU,74.67459,61.557735,70.37977,65.99213,78.737946,61.407673,72.39172,70.454185,73.84636,75.00772,62.481552,76.49604,78.88509
BH,79.439064,80.70432,83.84383,74.00856,76.997734,81.00933,81.992744,71.73888,57.077553,84.5078,86.139786,85.64308,53.910023
BD,83.262314,82.90792,85.96716,47.488094,77.03854,66.52118,65.52986,56.64787,59.543873,51.469246,51.20966,76.05799,81.86028
JO,84.17983,83.02116,85.61173,69.831665,68.64233,67.989845,72.283936,74.53067,57.497845,51.038048,73.102325,76.00632,75.861
MV,85.12485,84.64728,86.30479,74.43877,73.244385,71.59083,77.08476,60.393173,73.47818,77.968506,68.9246,82.34542,86.360634
MM,61.47892,63.08817,54.28353,38.47863,73.55166,72.9829,79.55074,60.819042,66.28509,53.31126,66.68062,78.26474,75.697495
YE,84.3195,84.116234,86.33975,72.39302,70.20903,67.98165,72.38275,70.63204,53.0672,46.581112,59.49123,74.290794,29.441444
GF,59.062424,67.08979,68.53485,63.72687,68.06709,63.161858,67.63818,60.590042,52.719166,54.256172,55.33672,77.07347,78.03699
HN,74.696144,59.982735,70.46835,69.4501,78.48877,70.66935,68.68868,66.612434,59.68523,65.02104,68.505554,75.072716,84.85662
BG,81.58468,77.467545,77.27341,81.13794,64.19633,49.32702,61.2627,69.838104,62.5628,59.333427,43.15648,53.910393,68.88834
CY,78.39643,77.69668,78.13005,65.15755,69.25385,62.87704,68.65138,83.425934,68.98089,83.66528,85.81237,85.115685,88.66773
DK,75.14745,74.15834,76.95171,79.50008,62.25102,57.37486,55.714035,71.40939,57.539715,69.08627,82.68298,77.16618,76.388626
DJ,83.47073,79.0965,80.982475,77.701836,75.15692,78.35485,78.85995,74.843185,62.28979,83.672935,84.9372,85.33943,78.426094
EE,77.682816,80.03499,81.06076,74.274475,74.37397,69.9554,78.96578,76.49527,67.163635,71.329605,84.65748,78.71111,83.31821
FI,78.42861,71.05292,73.54469,63.658875,69.47781,73.76816,84.30954,82.67833,78.36889,79.04355,86.555214,79.674644,83.06325
GI,78.155685,76.37673,78.035355,77.92493,80.8044,83.68194,86.704666,84.10439,80.85005,82.87772,81.3471,81.58251,86.68263
IR,71.50519,72.99088,80.17613,76.68332,79.31633,79.75254,82.03075,83.57838,79.95825,81.75851,74.78307,84.590225,83.58608
IE,66.27082,69.18033,79.35241,60.9071,69.757034,69.7691,65.86692,61.74828,48.104836,69.63279,59.115356,71.99971,78.23384
IL,83.89413,80.34926,82.6537,80.53924,79.96284,80.98576,78.21112,66.01304,46.417732,40.731552,39.84085,51.124718,73.72822
KE,80.49842,79.541985,82.52416,80.74055,82.25273,74.53731,82.146095,80.283104,78.36064,78.1476,81.37891,81.76944,81.348274
LV,75.31765,68.397385,76.5889,78.43081,78.801445,61.622486,65.37656,36.064568,41.28987,47.832428,76.68888,71.362755,75.16559
LT,72.224754,75.28478,76.12082,49.89361,28.586601,59.195118,65.65162,80.11731,66.57145,51.36271,53.33397,60.057056,81.93458
MG,67.889755,72.887924,64.836876,65.58198,85.16917,81.847046,86.079414,85.71425,82.225975,84.344765,86.51694,85.69615,89.24425
YT,75.24403,74.89609,76.004364,68.96216,85.239136,82.5056,86.34198,85.98096,82.490715,84.64026,86.775055,85.88342,89.37281
MZ,80.17036,77.52362,75.87355,75.584206,83.219505,77.27184,83.55851,71.93294,64.95595,76.62758,72.41207,78.97751,83.04993
NO,81.30034,81.07408,84.485535,80.082504,80.76738,81.46418,84.674446,84.590225,81.50857,80.71078,83.08018,83.93909,87.0607
PL,81.85969,79.15627,78.70623,73.22617,74.98559,77.05613,76.78048,73.81814,76.8648,79.92958,85.59849,85.51211,86.454956
RU,83.95257,82.02889,84.55993,77.56835,76.65064,69.418076,75.315,76.83264,71.4796,74.29154,72.22936,76.7364,86.821075
SD,83.34093,81.71571,84.17622,82.09254,83.017876,78.55926,39.57227,48.339817,45.25218,33.899067,73.939224,56.960384,79.3434
SE,81.74998,78.88624,79.666176,77.33815,79.22343,80.30927,70.1268,69.77398,63.160732,57.155144,59.356216,76.65605,82.31925
SY,80.426155,76.256935,76.69214,60.382027,59.572445,63.95467,76.81783,77.63089,66.284935,83.66528,85.804016,78.93768,89.3337
