,2006-01-01T00:00:00-05,2007-01-01T00:00:00-05,2008-01-01T00:00:00-05,2009-01-01T00:00:00-05,2010-01-01T00:00:00-05,2011-01-01T00:00:00-05,2012-01-01T00:00:00-05,2013-01-01T00:00:00-05,2014-01-01T00:00:00-05,2015-01-01T00:00:00-05,2016-01-01T00:00:00-05,2017-01-01T00:00:00-05,2018-01-01T00:00:00-05
TH,141762.0,134281.94,186885.38,175206.6,213483.67,188882.44,232614.33,193753.08,162836.64,174916.67,201417.5,262043.5,415808.66
TO,143212.0,127709.945,134755.39,150851.12,175805.72,139784.19,159028.0,183714.45,155803.64,157699.8,174258.1,258048.0,454789.06
VU,145329.0,148739.94,144102.36,149409.88,167595.72,131873.19,166904.0,197398.45,178602.64,173651.64,196682.53,287911.94,483761.84
WF,137281.0,154527.94,147935.5,149059.45,188763.72,164639.19,174807.0,194721.52,155059.89,151867.64,180298.53,262047.25,447545.84
AO,159261.22,157969.94,132922.36,160739.28,204309.72,148311.69,192062.0,194480.88,173840.5,153425.5,209511.84,216294.94,391732.72
AR,147841.25,159001.6,130988.305,138412.75,233476.94,187822.94,166713.11,170651.3,170754.5,165926.83,185191.84,233965.44,419753.62
BJ,165048.48,179638.19,163808.81,165519.34,193282.1,182430.86,198700.33,208265.69,168491.5,192656.5,188915.67,282140.62,488688.88
BR,128568.42,147710.67,131112.25,144814.03,172716.84,138153.19,166097.0,173353.88,158802.5,160878.6,179909.84,213610.94,369159.16
CM,133422.84,156699.67,140618.11,142443.0,188504.84,134391.19,176111.5,173248.38,149639.5,145893.47,181709.28,225688.19,378459.66
CV,134962.16,149787.67,133053.36,138847.0,188276.84,147071.19,175015.0,170395.94,177706.81,212268.0,223874.67,210535.19,370798.34
CN,148622.0,143995.94,138475.81,148763.12,176319.97,161336.19,165591.33,170030.45,161083.0,136052.47,156175.34,287911.94,496083.75
CD,135636.0,155709.44,148264.19,146817.0,181553.72,141132.19,177689.33,181871.69,147376.5,145893.47,162365.25,219175.31,353368.5
CG,132977.16,164612.67,136649.5,142443.0,188504.84,134391.19,192062.0,187817.25,167191.16,158144.23,197506.17,216294.94,375970.2
CI,133422.84,156699.67,132705.11,134994.16,188504.84,134391.19,198700.33,171079.88,168491.5,159643.5,189480.39,238215.56,400558.38
GQ,134113.5,165505.44,148086.11,166347.94,169258.72,148921.19,185478.33,171760.88,156667.98,155593.88,167213.97,225688.19,375007.5
GA,143712.17,157969.94,141728.61,151879.62,172900.97,161380.44,185755.33,187817.25,167191.16,150814.47,153837.25,216294.94,378459.66
GM,145110.16,167232.67,138286.25,149768.03,177670.84,143107.19,171051.0,175334.88,168491.5,184673.5,193322.67,236686.5,398058.66
GH,126976.0,156699.67,140618.11,134994.16,188504.84,126478.19,163543.0,172548.58,149936.81,149040.5,188915.67,248766.31,400558.38
LR,138533.0,149032.67,164597.36,168537.88,212619.38,216489.94,184554.0,195566.12,168491.5,178156.0,193845.28,267568.44,471025.66
MR,134317.5,164041.17,141457.31,151591.12,196407.28,141351.44,204204.0,160045.83,149936.81,150184.0,162357.67,222360.44,372550.62
NAB,162433.16,168101.34,186749.31,144030.0,181553.72,153664.94,193267.33,174875.88,169091.17,156419.47,159166.25,220557.94,357151.5
NL,136797.0,153452.19,131699.86,148295.88,183342.25,140217.19,181741.33,178105.25,152349.5,159470.5,154860.67,214863.44,367377.66
NG,126976.0,156699.67,143728.36,160717.0,198880.72,161380.44,180630.0,175541.75,149936.81,148256.5,181709.28,225688.19,378459.66
ST,134498.86,146663.44,138798.94,147426.38,188301.72,155675.94,190134.5,165723.88,139841.06,144655.5,173213.42,216294.94,370798.34
SN,133422.84,164612.67,140618.11,142443.0,188504.84,134391.19,176111.5,180467.94,149639.5,147814.5,205981.28,284926.94,437065.75
SL,163796.64,188726.38,210452.5,214677.0,265316.53,140080.19,232929.34,213438.83,252120.0,184673.5,193322.67,236686.5,398058.66
ZA,138322.25,137386.17,137229.31,135021.34,178572.22,127111.19,165916.0,166412.94,140658.83,147504.5,144244.25,223755.94,349585.5
TG,132977.16,164612.67,140618.11,142443.0,188504.84,134391.19,198700.33,208265.69,168491.5,213520.0,171121.67,282140.62,423051.66
AE,138768.0,174605.6,134669.69,142313.75,186786.17,189720.66,204794.33,183097.45,197380.61,193610.5,158978.67,212425.44,380056.16
AI,155624.66,164778.17,-999.0,-999.0,183232.0,169012.19,233996.0,225719.62,191411.5,204415.5,202305.0,273068.44,425582.66
BS,157508.5,194733.67,195733.31,224103.38,227081.34,165935.88,211486.0,189024.62,175650.5,179612.72,178317.67,253171.44,403942.66
VG,167909.5,141590.67,145489.06,168282.38,170601.84,171241.62,258294.0,209828.62,196454.5,203592.5,199121.67,227167.44,383167.66
DM,147107.5,147180.69,161444.86,189084.34,196337.0,171241.62,211486.0,163020.62,149646.5,156784.5,152313.67,253171.44,380963.06
GP,152069.0,154617.75,158402.73,163080.34,183884.97,158824.19,188070.23,162760.62,147595.5,154716.5,173193.08,235881.44,375835.88
AN,146707.28,141590.67,153423.06,176216.38,194542.1,158022.33,222162.44,185586.19,169422.6,176543.6,204321.67,271686.75,383167.66
KN,166025.66,141590.67,145489.06,168282.38,170601.84,171241.62,211486.0,194825.62,176528.5,183649.5,187027.67,227167.44,379681.66
VI,178311.5,168031.67,171493.06,189084.34,196605.84,176336.88,185482.0,179085.94,150524.5,157645.5,166392.17,227167.44,392917.66
AG,169774.0,141590.67,145489.06,168282.38,170601.84,171241.62,211486.0,163020.62,149663.5,156784.5,152313.67,227167.44,377938.66
BB,146707.28,181803.67,151704.81,155066.31,170127.0,145502.69,213651.0,163020.62,149663.5,156784.5,163626.67,223629.44,370933.88
GD,180375.36,164291.67,178326.03,177027.2,221533.1,169586.19,224065.0,163020.62,149663.5,156784.5,152313.67,250956.44,380963.06
HT,149924.0,160232.69,169612.14,197115.38,207959.0,175450.19,254390.0,151921.62,192551.25,162884.47,195217.67,260105.44,412381.88
JM,170287.42,179561.08,162650.06,205378.6,213505.84,187440.81,225891.73,237729.62,180668.31,189457.47,190145.67,241135.14,417197.66
MQ,152069.0,154617.75,158402.73,173361.2,218752.88,174748.19,204447.0,162760.62,147595.5,154716.5,173193.08,242483.44,382074.9
LC,189215.53,184103.42,189036.5,197685.67,196337.0,206961.19,228372.94,178104.62,164747.5,171868.5,163625.67,238713.44,370933.88
VC,180375.36,174362.8,171144.53,177027.2,196743.52,184123.19,224065.0,163020.62,149663.5,156784.5,159854.67,223629.44,370933.88
TT,146707.28,153384.88,155407.86,193321.2,196261.0,161597.12,183797.75,162606.94,134045.5,141166.5,149816.67,209819.44,362333.66
CL,126840.42,139634.5,159072.31,135021.34,178572.22,124845.19,195243.33,191140.88,168359.12,198165.5,178984.34,386423.44,428044.88
