,2006-01-01T00:00:00-05,2007-01-01T00:00:00-05,2008-01-01T00:00:00-05,2009-01-01T00:00:00-05,2010-01-01T00:00:00-05,2011-01-01T00:00:00-05,2012-01-01T00:00:00-05,2013-01-01T00:00:00-05,2014-01-01T00:00:00-05,2015-01-01T00:00:00-05,2016-01-01T00:00:00-05,2017-01-01T00:00:00-05,2018-01-01T00:00:00-05
KM,4.0,4.0,1.0,10.0,5.0,4.0,7.0,7.0,7.0,4.0,6.0,3.0,8.0
SC,10.0,8.0,5.0,11.0,10.0,16.0,15.0,10.0,9.0,13.0,17.0,13.0,15.0
CK,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
ME,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
FO,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
GL,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
ER,3.0,3.0,1.0,1.0,-999.0,-999.0,1.0,-999.0,1.0,1.0,1.0,1.0,1.0
SO,2.0,2.0,3.0,3.0,3.0,3.0,0.0,1.0,3.0,2.0,3.0,6.0,6.0
TC,1.0,1.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
FM,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0
MP,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,4.0,7.0,5.0,4.0
PW,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IQ,1.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0
KP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
MS,-999.0,1.0,-999.0,-999.0,1.0,-999.0,-999.0,1.0,1.0,1.0,2.0,1.0,1.0
PY,-999.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KI,-999.0,-999.0,1.0,2.0,2.0,1.0,5.0,4.0,6.0,4.0,2.0,2.0,2.0
TV,-999.0,-999.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FK,-999.0,-999.0,-999.0,1.0,1.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
NR,-999.0,-999.0,-999.0,-999.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NU,-999.0,-999.0,-999.0,-999.0,1.0,1.0,1.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0
BQ,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0
MD,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CX,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,1.0,1.0,1.0,1.0
