Id,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,eigencentrality,clustering,triangles
CW,46,4447455.609,3,0.485014,0.532772,0.000273,0.043735,0.043735,3,0.001506,0.24748,0.814229,206
FJ,54,7121765.82,3,0.491713,0.544944,0.019478,0.036864,0.036864,4,0.003793,0.208319,0.538462,189
CU,42,4391960.656,3,0.482385,0.527154,0.000324,0.045634,0.045634,3,0.001095,0.255532,0.814286,171
IS,18,5775978,4,0.452926,0.482678,0.000218,0.019899,0.019899,2,0.001492,0.11084,0.75,27
HR,42,34221329.37,3,0.510029,0.54588,0.00172,0.048231,0.048231,0,0.002235,0.265825,0.690476,145
SI,42,40060655.88,3,0.501408,0.540262,0.001531,0.044903,0.044903,0,0.002244,0.246818,0.695238,146
AS,32,2173096.5,3,0.472149,0.5103,0.000317,0.02463,0.02463,4,0.001608,0.139256,0.891667,107
KI,24,566865,3,0.42381,0.462547,0.003356,0.015797,0.015797,4,0.001431,0.08969,0.757576,50
MH,36,1367994,3,0.429952,0.479401,0.004782,0.02098,0.02098,4,0.001687,0.119358,0.620915,95
SB,44,4893782.039,3,0.44389,0.499064,0.001764,0.034276,0.034276,4,0.001799,0.192184,0.683983,158
TO,34,2207285.5,3,0.473404,0.513109,0.001591,0.024694,0.024694,4,0.001761,0.139854,0.808824,110
VU,32,3754472.5,3,0.432039,0.477528,0.000114,0.021873,0.021873,4,0.001749,0.123852,0.883333,106
WS,30,1891200,3,0.470899,0.507491,0.001298,0.023945,0.023945,4,0.001569,0.135092,0.87619,92
PG,38,14052385.27,3,0.440594,0.490637,0.000393,0.034701,0.034701,4,0.002074,0.193258,0.795322,136
PH,48,98043489.38,3,0.459948,0.515918,0.001728,0.044423,0.044423,0,0.004509,0.245834,0.597826,165
BD,22,11549969.69,3,0.427885,0.464419,0.000011,0.02856,0.02856,0,0.001177,0.156682,0.963636,53
MM,26,8266768.484,3,0.440594,0.479401,0.000053,0.031053,0.031053,0,0.001089,0.170508,0.871795,68
BN,10,1964261,3,0.420804,0.446629,0,0.013761,0.013761,0,0.000898,0.075742,1,10
FM,20,794414,3,0.421801,0.456929,0.000066,0.015329,0.015329,4,0.001125,0.086229,0.866667,39
GU,22,2884803.316,3,0.458763,0.490637,0.000439,0.020547,0.020547,0,0.001295,0.114917,0.8,44
KH,18,7849270.078,3,0.424821,0.457865,0,0.025027,0.025027,0,0.001069,0.13768,1,36
MP,20,1485067.324,3,0.419811,0.455056,0.000064,0.017082,0.017082,0,0.001173,0.09542,0.866667,39
PW,14,1028352.016,3,0.413953,0.44382,0,0.013132,0.013132,0,0.000985,0.073054,1,21
FO,12,2841215,4,0.42381,0.452715,0,0.013386,0.013386,2,0.001184,0.074278,1,15
ER,6,289048,4,0.374737,0.396536,0,0.004876,0.004876,0,0.00088,0.026781,1,3
YE,4,1388887,4,0.372385,0.391854,0,0.004478,0.004478,0,0.000889,0.024396,1,1
TN,22,4135738.344,4,0.434146,0.471442,0.000038,0.024925,0.024925,0,0.001082,0.136838,0.909091,50
AL,24,1085531,4,0.427885,0.468165,0.000242,0.020734,0.020734,0,0.00096,0.114211,0.742424,49
GF,26,2678762.639,4,0.458763,0.495318,0.00001,0.026781,0.026781,3,0.001164,0.151771,0.961538,75
GW,14,1117305.5,4,0.422803,0.453652,0.000021,0.014123,0.014123,1,0.001059,0.077893,0.809524,17
GI,18,437049.5918,4,0.449495,0.480337,0.00002,0.024413,0.024413,0,0.000853,0.135134,0.888889,32
VC,44,4018955.189,4,0.474667,0.523876,0.000543,0.032118,0.032117,3,0.00189,0.186579,0.839827,194
BQ,26,1928019.598,4,0.463542,0.498596,0.000018,0.025839,0.025839,3,0.001157,0.146445,0.935897,73
BG,18,4233333,4,0.421801,0.456461,0.000015,0.019182,0.019182,0,0.001078,0.105158,0.972222,35
GE,16,3402408,4,0.416862,0.449906,0,0.016226,0.016226,0,0.001025,0.08892,1,28
MV,14,2190045.969,3,0.411085,0.441011,0.000005,0.015278,0.015278,0,0.000989,0.083736,0.952381,20
ME,10,1061168.328,4,0.402715,0.430712,0,0.008172,0.008172,0,0.000951,0.045099,1,10
KY,8,160836,4,0.416862,0.441948,0,0.007462,0.007462,3,0.000851,0.042176,1,6
SV,28,10122507.17,4,0.428916,0.47191,0.000065,0.023016,0.023016,3,0.001488,0.130184,0.868132,79
NI,20,4677582,4,0.42381,0.459738,0.000003,0.018636,0.018636,3,0.001088,0.104769,0.977778,44
MD,2,28860,4,0.330241,0.344569,0,0.001149,0.001149,0,0.00084,0.006321,0,0
CX,6,20160,3,0.412037,0.434457,0,0.007316,0.007316,4,0.000839,0.040324,1,3
TL,6,283732,3,0.412037,0.434457,0,0.007034,0.007034,0,0.000848,0.038737,1,3
AI,34,2859584,4,0.429952,0.478464,0.00004,0.018355,0.018355,3,0.001623,0.109545,0.933824,127
MS,28,1847664,4,0.426859,0.470037,0,0.016346,0.016346,3,0.001307,0.097104,1,91
BM,2,94608,4,0.412993,0.432584,0,0.003536,0.003536,0,0.000841,0.019891,0,0
PY,4,82992,4,0.34902,0.364232,0,0.003128,0.003128,3,0.000841,0.017212,1,1
NF,4,10224,4,0.369295,0.387172,0,0.003446,0.003446,4,0.000838,0.019256,1,1
NR,6,27544,4,0.372385,0.39279,0,0.003583,0.003583,4,0.000846,0.02047,1,3
CK,8,327471,4,0.353175,0.375,0,0.00312,0.00312,4,0.000965,0.018399,1,6
TV,8,85807.5,4,0.333333,0.356273,0,0.001564,0.001564,4,0.001107,0.00996,1,6
WF,8,85807.5,4,0.333333,0.356273,0,0.001564,0.001564,4,0.001107,0.00996,1,6
GL,2,148685.3281,4,0.33271,0.345037,0,0.000914,0.000914,0,0.000849,0.005156,0,0
